date,missed_calls_by_language
02/12/2022,Sinhala
02/12/2022,English
03/12/2022,English
03/12/2022,Sinhala
04/12/2022,English
04/12/2022,Sinhala
05/12/2022,Sinhala
05/12/2022,English
05/12/2022,Tamil
06/12/2022,Sinhala
06/12/2022,Tamil
06/12/2022,English
07/12/2022,English
07/12/2022,Tamil
08/12/2022,Sinhala
08/12/2022,English
09/12/2022,English
09/12/2022,Sinhala
10/12/2022,English
10/12/2022,Tamil
10/12/2022,Sinhala
11/12/2022,English
11/12/2022,Tamil
12/12/2022,English
12/12/2022,Sinhala
13/12/2022,English
13/12/2022,Sinhala
14/12/2022,English
14/12/2022,Sinhala
14/12/2022,Tamil
15/12/2022,English
15/12/2022,Sinhala
16/12/2022,English
17/12/2022,English
17/12/2022,Sinhala
18/12/2022,English
18/12/2022,Sinhala
19/12/2022,Sinhala
19/12/2022,English
20/12/2022,Sinhala
20/12/2022,English
21/12/2022,English
21/12/2022,Tamil
21/12/2022,Sinhala
22/12/2022,English
22/12/2022,Sinhala
23/12/2022,Tamil
23/12/2022,English
24/12/2022,English
24/12/2022,Sinhala
24/12/2022,Tamil
25/12/2022,Tamil
25/12/2022,Sinhala
25/12/2022,English
26/12/2022,Tamil
26/12/2022,English
26/12/2022,Sinhala
27/12/2022,English
27/12/2022,Sinhala
28/12/2022,English
29/12/2022,Sinhala
29/12/2022,English
30/12/2022,Sinhala
30/12/2022,English
31/12/2022,English
31/12/2022,Sinhala
01/01/2023,English
02/01/2023,Tamil
02/01/2023,English
02/01/2023,Sinhala
03/01/2023,English
03/01/2023,Sinhala
04/01/2023,English
04/01/2023,Sinhala
05/01/2023,English
05/01/2023,Sinhala
06/01/2023,English
06/01/2023,Sinhala
06/01/2023,Tamil
07/01/2023,Sinhala
07/01/2023,English
08/01/2023,English
08/01/2023,Sinhala
09/01/2023,Sinhala
09/01/2023,English
10/01/2023,English
10/01/2023,Sinhala
10/01/2023,Tamil
11/01/2023,Sinhala
11/01/2023,English
12/01/2023,Sinhala
12/01/2023,English
12/01/2023,Tamil
13/01/2023,English
13/01/2023,Sinhala
14/01/2023,English
14/01/2023,Tamil
14/01/2023,Sinhala
15/01/2023,Sinhala
15/01/2023,English
16/01/2023,English
17/01/2023,Sinhala
17/01/2023,English
18/01/2023,Sinhala
18/01/2023,English
19/01/2023,English
19/01/2023,Sinhala
20/01/2023,Sinhala
20/01/2023,English
21/01/2023,English
21/01/2023,Sinhala
22/01/2023,English
22/01/2023,Sinhala
23/01/2023,English
23/01/2023,Sinhala
24/01/2023,English
24/01/2023,Sinhala
25/01/2023,English
25/01/2023,Tamil
25/01/2023,Sinhala
26/01/2023,English
26/01/2023,Tamil
27/01/2023,English
27/01/2023,Sinhala
27/01/2023,Tamil
28/01/2023,English
28/01/2023,Sinhala
29/01/2023,English
29/01/2023,Sinhala
30/01/2023,English
30/01/2023,Sinhala
31/01/2023,English
31/01/2023,Sinhala
01/02/2023,English
01/02/2023,Sinhala
02/02/2023,English
02/02/2023,Sinhala
03/02/2023,English
03/02/2023,Sinhala
04/02/2023,English
04/02/2023,Sinhala
04/02/2023,Tamil
05/02/2023,English
06/02/2023,English
06/02/2023,Sinhala
07/02/2023,English
08/02/2023,English
08/02/2023,Sinhala
09/02/2023,English
09/02/2023,Tamil
10/02/2023,English
11/02/2023,English
11/02/2023,Sinhala
12/02/2023,English
12/02/2023,Sinhala
13/02/2023,English
13/02/2023,Sinhala
14/02/2023,Tamil
14/02/2023,English
14/02/2023,Sinhala
15/02/2023,English
15/02/2023,Sinhala
16/02/2023,Tamil
16/02/2023,English
16/02/2023,Sinhala
17/02/2023,Sinhala
17/02/2023,English
17/02/2023,Tamil
18/02/2023,English
19/02/2023,English
20/02/2023,Sinhala
20/02/2023,English
21/02/2023,English
21/02/2023,Sinhala
22/02/2023,Sinhala
22/02/2023,English
22/02/2023,Tamil
23/02/2023,Sinhala
23/02/2023,English
24/02/2023,Sinhala
24/02/2023,English
25/02/2023,English
26/02/2023,English
26/02/2023,Tamil
27/02/2023,English
27/02/2023,Sinhala
28/02/2023,English
28/02/2023,Tamil
01/03/2023,English
01/03/2023,Sinhala
02/03/2023,English
03/03/2023,English
03/03/2023,Tamil
04/03/2023,English
04/03/2023,Sinhala
05/03/2023,English
05/03/2023,Sinhala
06/03/2023,Sinhala
06/03/2023,English
07/03/2023,Sinhala
07/03/2023,English
08/03/2023,Tamil
08/03/2023,English
09/03/2023,English
09/03/2023,Sinhala
10/03/2023,English
10/03/2023,Sinhala
11/03/2023,English
11/03/2023,Sinhala
12/03/2023,English
12/03/2023,Sinhala
13/03/2023,Tamil
13/03/2023,English
13/03/2023,Sinhala
14/03/2023,English
14/03/2023,Sinhala
15/03/2023,Sinhala
15/03/2023,English
16/03/2023,English
16/03/2023,Sinhala
16/03/2023,Tamil
17/03/2023,Sinhala
17/03/2023,English
18/03/2023,English
18/03/2023,Sinhala
19/03/2023,Sinhala
19/03/2023,English
19/03/2023,Tamil
20/03/2023,English
21/03/2023,English
21/03/2023,Sinhala
22/03/2023,English
22/03/2023,Sinhala
23/03/2023,English
24/03/2023,English
24/03/2023,Sinhala
25/03/2023,English
25/03/2023,Sinhala
26/03/2023,Sinhala
26/03/2023,English
26/03/2023,Tamil
27/03/2023,English
27/03/2023,Sinhala
28/03/2023,Sinhala
28/03/2023,English
29/03/2023,Sinhala
29/03/2023,English
30/03/2023,English
30/03/2023,Sinhala
31/03/2023,Sinhala
31/03/2023,English
31/03/2023,Tamil
01/04/2023,English
01/04/2023,Sinhala
02/04/2023,English
02/04/2023,Tamil
02/04/2023,Sinhala
03/04/2023,English
03/04/2023,Sinhala
04/04/2023,English
04/04/2023,Sinhala
05/04/2023,English
05/04/2023,Sinhala
06/04/2023,English
06/04/2023,Sinhala
06/04/2023,Tamil
07/04/2023,English
08/04/2023,English
08/04/2023,Tamil
08/04/2023,Sinhala
09/04/2023,Sinhala
09/04/2023,English
10/04/2023,English
11/04/2023,English
11/04/2023,Sinhala
12/04/2023,Sinhala
12/04/2023,Tamil
12/04/2023,English
13/04/2023,Tamil
13/04/2023,Sinhala
13/04/2023,English
14/04/2023,Tamil
14/04/2023,English
14/04/2023,Sinhala
15/04/2023,English
15/04/2023,Sinhala
16/04/2023,English
16/04/2023,Sinhala
17/04/2023,English
17/04/2023,Sinhala
18/04/2023,English
19/04/2023,English
19/04/2023,Sinhala
20/04/2023,English
20/04/2023,Tamil
20/04/2023,Sinhala
21/04/2023,English
21/04/2023,Sinhala
21/04/2023,Tamil
22/04/2023,English
22/04/2023,Sinhala
23/04/2023,English
23/04/2023,Sinhala
23/04/2023,Tamil
24/04/2023,English
24/04/2023,Sinhala
25/04/2023,English
25/04/2023,Sinhala
26/04/2023,English
26/04/2023,Sinhala
27/04/2023,English
28/04/2023,English
28/04/2023,Sinhala
29/04/2023,Sinhala
29/04/2023,English
30/04/2023,English
30/04/2023,Sinhala
30/04/2023,Tamil
01/05/2023,English
01/05/2023,Sinhala
02/05/2023,Sinhala
02/05/2023,English
02/05/2023,Tamil
03/05/2023,English
03/05/2023,Sinhala
03/05/2023,Tamil
04/05/2023,English
04/05/2023,Tamil
04/05/2023,Sinhala
05/05/2023,English
05/05/2023,Sinhala
05/05/2023,Tamil
06/05/2023,English
06/05/2023,Sinhala
07/05/2023,English
07/05/2023,Sinhala
07/05/2023,Tamil
08/05/2023,English
08/05/2023,Sinhala
09/05/2023,English
10/05/2023,English
10/05/2023,Sinhala
11/05/2023,Sinhala
11/05/2023,English
12/05/2023,Sinhala
12/05/2023,English
13/05/2023,Sinhala
13/05/2023,English
14/05/2023,English
14/05/2023,Tamil
15/05/2023,English
15/05/2023,Sinhala
16/05/2023,English
16/05/2023,Sinhala
16/05/2023,Tamil
17/05/2023,English
17/05/2023,Sinhala
18/05/2023,English
19/05/2023,English
19/05/2023,Sinhala
20/05/2023,English
21/05/2023,English
21/05/2023,Tamil
21/05/2023,Sinhala
22/05/2023,English
22/05/2023,Sinhala
23/05/2023,English
23/05/2023,Sinhala
24/05/2023,English
25/05/2023,English
25/05/2023,Sinhala
26/05/2023,English
26/05/2023,Sinhala
27/05/2023,Sinhala
27/05/2023,English
27/05/2023,Tamil
28/05/2023,English
28/05/2023,Sinhala
29/05/2023,Sinhala
29/05/2023,English
30/05/2023,English
30/05/2023,Tamil
30/05/2023,Sinhala
31/05/2023,Sinhala
31/05/2023,English
01/06/2023,English
01/06/2023,Sinhala
02/06/2023,Sinhala
02/06/2023,English
03/06/2023,Sinhala
03/06/2023,English
04/06/2023,English
04/06/2023,Sinhala
05/06/2023,English
05/06/2023,Sinhala
06/06/2023,English
06/06/2023,Sinhala
07/06/2023,English
08/06/2023,English
08/06/2023,Sinhala
09/06/2023,Sinhala
09/06/2023,English
10/06/2023,English
10/06/2023,Tamil
10/06/2023,Sinhala
11/06/2023,Sinhala
11/06/2023,English
12/06/2023,English
12/06/2023,Sinhala
13/06/2023,English
13/06/2023,Sinhala
14/06/2023,English
14/06/2023,Sinhala
15/06/2023,Sinhala
15/06/2023,English
15/06/2023,Tamil
16/06/2023,English
16/06/2023,Tamil
16/06/2023,Sinhala
17/06/2023,English
17/06/2023,Sinhala
18/06/2023,English
18/06/2023,Sinhala
19/06/2023,English
19/06/2023,Sinhala
20/06/2023,English
20/06/2023,Sinhala
20/06/2023,Tamil
21/06/2023,Sinhala
21/06/2023,English
22/06/2023,Sinhala
22/06/2023,English
22/06/2023,Tamil
23/06/2023,English
23/06/2023,Sinhala
24/06/2023,Sinhala
24/06/2023,English
24/06/2023,Tamil
25/06/2023,Tamil
25/06/2023,English
25/06/2023,Sinhala
26/06/2023,English
26/06/2023,Tamil
26/06/2023,Sinhala
27/06/2023,English
27/06/2023,Sinhala
28/06/2023,English
29/06/2023,Tamil
29/06/2023,English
29/06/2023,Sinhala
30/06/2023,English
30/06/2023,Tamil
01/07/2023,Tamil
01/07/2023,Sinhala
01/07/2023,English
02/07/2023,English
03/07/2023,English
03/07/2023,Sinhala
03/07/2023,Tamil
04/07/2023,Sinhala
04/07/2023,English
05/07/2023,English
05/07/2023,Sinhala
06/07/2023,English
07/07/2023,English
07/07/2023,Sinhala
08/07/2023,English
08/07/2023,Tamil
09/07/2023,English
09/07/2023,Tamil
09/07/2023,Sinhala
10/07/2023,English
10/07/2023,Tamil
11/07/2023,English
11/07/2023,Sinhala
12/07/2023,English
12/07/2023,Sinhala
13/07/2023,Sinhala
13/07/2023,English
13/07/2023,Tamil
14/07/2023,English
14/07/2023,Sinhala
15/07/2023,English
15/07/2023,Sinhala
16/07/2023,Sinhala
16/07/2023,English
17/07/2023,English
17/07/2023,Sinhala
18/07/2023,English
18/07/2023,Sinhala
19/07/2023,Sinhala
19/07/2023,English
20/07/2023,English
20/07/2023,Sinhala
20/07/2023,Tamil
21/07/2023,English
21/07/2023,Sinhala
22/07/2023,English
22/07/2023,Sinhala
23/07/2023,English
23/07/2023,Sinhala
24/07/2023,English
24/07/2023,Tamil
24/07/2023,Sinhala
25/07/2023,English
25/07/2023,Sinhala
26/07/2023,English
26/07/2023,Sinhala
27/07/2023,English
27/07/2023,Sinhala
28/07/2023,English
28/07/2023,Sinhala
28/07/2023,Tamil
29/07/2023,Sinhala
29/07/2023,English
